统计序号,client发送时间(us),client接收时间(us),server发送时间(us),server接收时间(us),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
199,22602645917,22602733586,22602652167,22602726053,4413.070861,15.721635,23656.979875,84.278365,18.654414,536.066168
200,22602733608,22602827134,22602742881,22602819288,5481.198583,18.304001,24464.159128,81.695999,22.405015,446.328641
201,22602827152,22602920889,22602836551,22602912019,5849.408079,19.489636,24163.508070,80.510364,24.207611,413.093218
202,22602920910,22603014518,22602930233,22603006691,5491.124230,18.321084,24480.488419,81.678916,22.430616,445.819242
203,22603014538,22603102137,22603023963,22603097512,4498.559500,16.038996,23549.078484,83.961004,19.102911,523.480427
204,22603102159,22603195846,22603108341,22603184689,5551.638660,18.507370,24445.268380,81.492630,22.710484,440.325278
205,22603195868,22603283219,22603201981,22603275732,4354.477524,15.569370,23613.755282,84.430630,18.440428,542.286765
206,22603283242,22603377029,22603289500,22603369925,4278.274167,14.247177,25750.651090,85.752823,16.614237,601.893429
207,22603377052,22603464449,22603383261,22603456340,4584.368322,16.382713,23398.592863,83.617287,19.592496,510.399497
208,22603464472,22603551755,22603473779,22603543289,5690.597722,20.362499,22255.862696,79.637501,25.568983,391.098858
209,22603551773,22603645521,22603561172,22603635943,6076.097056,20.242565,23940.341096,79.757435,25.380161,394.008537
210,22603645546,22603739142,22603654857,22603730311,5808.744944,19.383307,24159.025519,80.616693,24.043788,415.907838
211,22603739160,22603832806,22603748653,22603823203,6114.198735,20.391688,23869.580837,79.608312,25.615023,390.395894
212,22603832818,22603913946,22603836036,22603908591,2744.921751,10.567252,23230.817406,89.432748,11.815864,846.319841
213,22603913958,22604001604,22603920234,22603995909,3832.900767,13.658353,24229.785779,86.341647,15.818963,632.152702
214,22604001626,22604088911,22604007875,22604079922,4878.935919,17.457753,23068.164863,82.542247,21.150083,472.811393
215,22604088942,22604170123,22604092051,22604164050,2939.912693,11.310528,23052.796119,88.689472,12.752955,784.131997
216,22604170140,22604257704,22604176386,22604250182,4408.268128,15.723357,23628.163480,84.276643,18.656838,535.996514
217,22604257726,22604345148,22604263995,22604337252,4535.380450,16.203015,23455.585290,83.796985,19.336036,517.169079
218,22604345170,22604432620,22604354500,22604426841,4837.632419,17.277301,23162.298421,82.722699,20.885805,478.794096
219,22604432646,22604520075,22604438917,22604510141,5188.552079,18.535040,22804.654936,81.464960,22.752162,439.518667
220,22604520094,22604613751,22604529359,22604603950,6104.593269,20.357261,23882.708306,79.642739,25.560724,391.225218
221,22604613775,22604707451,22604623098,22604698824,5747.269967,19.161792,24246.115070,80.838208,23.703880,421.871866
222,22604707473,22604801244,22604716787,22604791502,6101.391448,20.321848,23922.410895,79.678152,25.504919,392.081234
223,22604801265,22604894862,22604810504,22604887831,5209.363920,17.383036,24758.726725,82.616964,21.040516,475.273510
224,22604894884,22604982325,22604901155,22604976388,3908.783942,13.961414,24088.265259,86.038586,16.226922,616.259830
225,22604982342,22605069828,22604988558,22605062918,4202.711175,15.003543,23808.746224,84.996457,17.651963,566.509218
226,22605069850,22605157265,22605076062,22605149498,4475.826566,15.991535,23512.897898,84.008465,19.035623,525.330853
227,22605157288,22605250822,22605166488,22605242793,5516.418622,18.420040,24431.500547,81.579960,22.579123,442.886993
228,22605250841,22605356745,22605260088,22605353989,3843.146597,11.333850,30065.426025,88.666150,12.782611,782.312755
229,22605356753,22605438152,22605359859,22605430844,3334.377127,12.793769,22728.131398,87.206231,14.670705,681.630497
