统计序号,client发送时间(us),client接收时间(us),server发送时间(us),server接收时间(us),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
178,23759217724,23759285432,23759218918,23759284157,790.529780,3.646541,20888.364644,96.353459,3.784546,2642.324828
179,23759285437,23759354575,23759286593,23759353554,697.036586,3.148775,21439.718342,96.851225,3.251146,3075.838310
180,23759354580,23759424984,23759355407,23759423663,687.751303,3.050963,21854.354253,96.949037,3.146976,3177.653631
181,23759424990,23759493856,23759426091,23759492334,839.837834,3.808846,21209.827543,96.191154,3.959664,2525.467022
182,23759493861,23759567159,23759495336,23759565826,899.071536,3.830937,22569.641223,96.169063,3.983544,2510.327635
183,23759567165,23759642206,23759568444,23759640270,1029.385679,4.284325,22997.404603,95.715675,4.476095,2234.090202
184,23759642213,23759713717,23759643724,23759712204,968.230885,4.229134,21926.075060,95.770866,4.415888,2264.550265
185,23759713723,23759790155,23759715260,23759788502,1021.381125,4.173645,23450.782557,95.826355,4.355424,2295.987461
186,23759790161,23759863173,23759791541,23759861772,890.426617,3.808963,22486.714041,96.191037,3.959790,2525.386552
187,23759863179,23759937526,23759864390,23759935942,894.909168,3.759398,22909.674689,96.240602,3.906250,2560.000000
188,23759937531,23760011950,23759938999,23760010344,984.239993,4.130666,22843.396979,95.869334,4.308641,2320.917372
189,23760011956,23760086951,23760013300,23760085419,920.843923,3.834922,23091.217979,96.165078,3.987853,2507.614743
190,23760086957,23760162181,23760088170,23760160771,839.837834,3.486919,23245.545786,96.513081,3.612898,2767.861228
191,23760162186,23760231058,23760163138,23760229544,789.569233,3.580555,21262.017237,96.419445,3.713520,2692.862936
192,23760231063,23760305599,23760232523,23760304180,921.804470,3.862563,22943.293816,96.137437,4.017751,2488.954498
193,23760305605,23760380357,23760306748,23760378926,824.148908,3.443386,23110.108727,96.556614,3.566184,2804.118104
194,23760380364,23760451265,23760381393,23760449584,867.693683,3.822231,21833.542412,96.177769,3.974131,2516.273063
195,23760451272,23760528313,23760452427,23760526683,891.707346,3.614958,23775.447278,96.385042,3.750539,2666.283662
196,23760528324,23760602884,23760529637,23760600986,1028.104951,4.306599,22844.677708,95.693401,4.500413,2222.018063
197,23760602921,23760677695,23760604104,23760676308,822.868179,3.437024,23118.433464,96.562976,3.559360,2809.494163
198,23760677701,23760752629,23760678567,23760751312,698.957679,2.913464,23291.652018,97.086536,3.000894,3332.340815
199,23760752636,23760827324,23760753481,23760825769,768.437210,3.213368,23145.328766,96.786632,3.320053,3012.000000
200,23760827332,23760902343,23760828446,23760900843,836.956195,3.484822,23180.228623,96.515178,3.610647,2769.586840
201,23760902349,23760977129,23760903270,23760975447,833.434191,3.480877,23109.788545,96.519123,3.606412,2772.839032
202,23760977136,23761050049,23760978150,23761048406,850.724028,3.644069,22494.718595,96.355931,3.781883,2644.185171
203,23761050056,23761125037,23761051225,23761123519,860.329493,3.583575,23147.249859,96.416425,3.716768,2690.509862
204,23761125042,23761197566,23761126475,23761195801,1023.942582,4.409575,22196.949176,95.590425,4.612988,2167.792370
205,23761197572,23761267455,23761199013,23761266242,849.763481,3.797776,21525.527164,96.202224,3.947701,2533.119819
206,23761267464,23761342885,23761268635,23761341404,849.123117,3.516262,23299.336390,96.483738,3.644409,2743.929110
207,23761342891,23761428363,23761343900,23761427260,676.224745,2.470985,26690.385762,97.529015,2.533589,3946.969697
208,23761428369,23761499175,23761429162,23761498187,570.244446,2.515324,22100.574343,97.484676,2.580225,3875.631668
209,23761499183,23761571455,23761499973,23761570098,687.431121,2.970722,22452.774731,97.029278,3.061676,3266.185375
210,23761571461,23761646729,23761572589,23761645501,754.349195,3.130148,23345.122441,96.869852,3.231293,3094.736842
211,23761646734,23761720954,23761647784,23761719518,795.972877,3.349501,22967.947844,96.650499,3.465581,2885.518906
212,23761720963,23761794925,23761721996,23761793437,807.179253,3.408507,22874.134468,96.591493,3.528786,2833.835779
213,23761794932,23761868617,23761795808,23761867101,765.875753,3.246251,22826.747506,96.753749,3.355168,2980.476589
214,23761868624,23761942908,23761869640,23761940984,941.335582,3.957784,22843.076797,96.042216,4.120879,2426.666667
215,23761942921,23762023737,23761944179,23762022308,860.329493,3.324837,25015.512826,96.675163,3.439184,2907.666543
216,23762023743,23762095699,23762024927,23762094337,815.183807,3.538273,22223.844479,96.461727,3.668059,2726.237235
217,23762095705,23762177047,23762096814,23762175645,803.977431,3.086966,25240.280710,96.913034,3.185295,3139.426523
218,23762177053,23762251315,23762178105,23762250214,689.352214,2.899195,23088.016158,97.100805,2.985758,3349.233627
219,23762251321,23762326556,23762252291,23762325313,708.563144,2.941450,23380.342480,97.058550,3.030594,3299.683687
220,23762326562,23762403321,23762327610,23762401684,859.689129,3.497961,23717.174123,96.502039,3.624754,2758.808194
221,23762403328,23762476250,23762404400,23762474912,771.639032,3.304901,22576.685231,96.695099,3.417858,2925.809129
222,23762476256,23762547946,23762477408,23762546537,819.986540,3.572325,22133.873289,96.427675,3.704668,2699.297150
223,23762547951,23762618381,23762549079,23762616980,809.740710,3.590799,21740.689583,96.409201,3.724540,2684.895216
224,23762618387,23762691833,23762619461,23762690586,743.142819,3.160145,22772.956902,96.839855,3.263269,3064.411891
225,23762691839,23762763148,23762692712,23762761928,670.141284,2.935113,22161.729137,97.064887,3.023867,3307.023411
226,23762763153,23762835554,23762764155,23762834350,706.321869,3.046919,22475.187483,96.953081,3.142674,3182.003626
227,23762835559,23762903430,23762836683,23762902173,762.353749,3.508126,20968.730369,96.491874,3.635670,2750.524990
228,23762903436,23762974978,23762904794,23762973473,916.681555,4.001845,21989.791312,95.998155,4.168669,2398.847363
229,23762974986,23763049369,23762976435,23763048074,878.579877,3.689015,22937.530537,96.310985,3.830316,2610.750729
230,23763049375,23763120393,23763050439,23763119016,781.564679,3.437157,21957.132730,96.562843,3.559502,2809.381401
231,23763120400,23763193356,23763121550,23763192137,758.511563,3.247163,22600.698894,96.752837,3.356142,2979.611650
232,23763193362,23763265310,23763194508,23763264035,775.161036,3.364930,22261.305793,96.635070,3.482100,2871.829822
233,23763265315,23763338252,23763266431,23763336979,764.915206,3.275429,22588.211789,96.724571,3.386347,2953.034743
234,23763338258,23763409518,23763339217,23763408059,774.200489,3.393208,22041.981006,96.606792,3.512391,2847.063689
235,23763409524,23763480954,23763410547,23763479716,723.931888,3.165337,22146.680575,96.834663,3.268805,3059.221583
236,23763480959,23763589669,23763481987,23763588121,824.789272,2.369607,33982.214521,97.630393,2.427120,4120.108696
237,23763589674,23763664632,23763591122,23763663354,872.816598,3.636703,23127.398565,96.363297,3.773951,2649.743213
238,23763664638,23763736411,23763666079,23763735291,819.986540,3.568194,22160.448409,96.431806,3.700225,2702.538071
