统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
193,79319397750,79319480146,79319398932,79319478327,960.866695,3.642167,25420.863454,96.357833,3.779835,2645.618127
194,79319480152,79319551099,79319481651,79319549807,893.628439,3.933923,21822.336036,96.066077,4.095017,2441.992118
195,79319551133,79319636034,79319552226,79319634266,916.041191,3.369807,26267.745296,96.630193,3.487323,2867.528836
196,79319636045,79319718911,79319637228,79319717313,890.426617,3.356021,25641.789152,96.643979,3.472560,2879.719525
197,79319718918,79319804751,79319720191,79319803386,844.640567,3.073410,26637.555704,96.926590,3.170864,3153.714936
198,79319804758,79319889125,79319805715,79319887651,778.362857,2.881458,26234.446351,97.118542,2.966950,3370.464829
199,79319889136,79319971944,79319890043,79319970287,820.947086,3.096319,25692.698118,96.903681,3.195254,3129.641186
200,79319971951,79320050263,79319972908,79320048671,816.144353,3.254929,24257.961810,96.745071,3.364439,2972.263633
201,79320050269,79320143720,79320051453,79320142305,832.153462,2.781137,29089.190586,97.218863,2.860697,3495.652174
202,79320143727,79320217492,79320145758,79320216290,1035.148958,4.382837,22583.088874,95.617163,4.583735,2181.626972
203,79320217498,79320294564,79320218347,79320293166,719.449338,2.915683,23955.709841,97.084317,3.003248,3329.728527
204,79320294571,79320381088,79320296666,79320379820,1076.772641,3.887097,26624.428235,96.112903,4.044303,2472.613738
205,79320381095,79320455541,79320381931,79320454191,699.918225,2.936357,23136.363665,97.063643,3.025187,3305.580970
206,79320455547,79320546318,79320456596,79320544930,780.283950,2.684778,28282.971880,97.315222,2.758847,3624.702503
207,79320546324,79320632372,79320547365,79320630783,842.079109,3.056434,26708.956328,96.943566,3.152797,3171.787072
208,79320632379,79320707088,79320633537,79320705360,924.045745,3.862988,22996.444057,96.137012,4.018211,2488.669439
209,79320707098,79320788803,79320708183,79320787078,899.711900,3.439202,25260.772369,96.560798,3.561696,2807.651246
210,79320788841,79320874012,79320789982,79320872387,885.623885,3.247584,26384.611789,96.752416,3.356592,2979.211858
211,79320874019,79320952578,79320875230,79320951116,855.846943,3.402538,24297.344217,96.597462,3.522389,2838.982417
212,79320952585,79321041523,79320953420,79321039850,803.016884,2.819942,27673.345026,97.180058,2.901770,3446.172249
213,79321041529,79321123012,79321043773,79321121336,1255.114110,4.810819,24834.289717,95.189181,5.053956,1978.647959
214,79321123019,79321221739,79321124081,79321220322,793.731602,2.511143,30814.652305,97.488857,2.575825,3882.250908
215,79321221781,79321305660,79321223371,79321304196,977.836350,3.640959,25878.723959,96.359041,3.778534,2646.529142
216,79321305697,79321387847,79321306683,79321386481,753.068466,2.863055,25549.896869,97.136945,2.947442,3392.772109
217,79321387852,79321465176,79321388828,79321463729,775.801400,3.133568,23981.964779,96.866432,3.234937,3091.250516
218,79321465182,79321542896,79321466214,79321541377,816.784718,3.282549,24065.852507,96.717451,3.393957,2946.413171
219,79321542905,79321636525,79321543957,79321634921,850.403846,2.837001,29125.050989,97.162999,2.919836,3424.849398
220,79321636533,79321718075,79321638031,79321716479,990.643637,3.794364,25117.650939,96.205636,3.944014,2535.488041
221,79321718085,79321817410,79321719159,79321815339,1006.972927,3.166373,30795.121192,96.833627,3.269911,3058.187599
222,79321817416,79321893414,79321818561,79321892291,726.173163,2.984289,23607.031457,97.015711,3.076088,3250.881834
223,79321893420,79322000184,79321894217,79321998811,694.795311,2.032520,33489.133978,97.967480,2.074689,4820.000000
224,79322000190,79322088816,79322003351,79322087021,1586.822839,5.592038,26789.642235,94.407962,5.923270,1688.256659
225,79322088823,79322193167,79322089884,79322192002,712.725512,2.133328,32696.362923,97.866672,2.179831,4587.511231
226,79322193176,79322269086,79322193979,79322267258,842.399292,3.465947,23462.629298,96.534053,3.590387,2785.214747
227,79322269092,79322355525,79322270164,79322354270,745.063912,2.692259,26929.241661,97.307741,2.766747,3614.353245
228,79322355530,79322438605,79322356541,79322437233,762.994113,2.868492,25836.139730,97.131508,2.953205,3386.151909
229,79322438612,79322534037,79322439671,79322532432,852.965303,2.791721,29700.418350,97.208279,2.871897,3482.019520
230,79322534043,79322616636,79322535113,79322614768,940.695218,3.557202,25504.110819,96.442798,3.688406,2711.198094
231,79322616642,79322698459,79322617838,79322697072,827.030547,3.157046,25369.314125,96.842954,3.259964,3067.518389
232,79322698465,79322781503,79322699427,79322779921,814.543443,3.063658,25772.743660,96.936342,3.160484,3164.072327
233,79322781510,79322862295,79322782959,79322860934,899.711900,3.478369,24966.204772,96.521631,3.603719,2774.911032
234,79322862300,79322950077,79322863580,79322948988,758.511563,2.698885,27346.118848,97.301115,2.773745,3605.234276
235,79322950082,79323028449,79322950979,79323027038,738.980450,2.945117,24352.735733,97.054883,3.034486,3295.450607
236,79323028454,79323117076,79323029591,79323115581,842.719474,2.969917,27532.464871,97.030083,3.060821,3267.097264
237,79323117085,79323199661,79323118088,79323198278,763.954660,2.889459,25675.408280,97.110541,2.975433,3360.854987
238,79323199667,79323284404,79323201596,79323282765,1142.409986,4.210675,25988.866626,95.789325,4.395767,2274.915919
239,79323284410,79323364745,79323285709,79323363586,787.007776,3.059688,24934.826919,96.940312,3.156259,3168.307567
240,79323364752,79323445098,79323365551,79323443865,650.610171,2.529062,25074.746528,97.470938,2.594683,3854.035433
241,79323445104,79323529405,79323446198,79323528312,700.238408,2.594275,26291.438777,97.405725,2.663370,3754.641061
242,79323529411,79323603980,79323530394,79323602340,839.837834,3.517548,23035.826464,96.482452,3.645790,2742.889821
243,79323603986,79323693111,79323605270,79323691825,822.868179,2.883590,27713.367798,97.116410,2.969210,3367.898833
244,79323693122,79323767182,79323693958,79323765904,676.865109,2.854442,23035.826464,97.145558,2.938315,3403.311258
245,79323767188,79323868052,79323768176,79323866478,820.306722,2.540054,31474.547759,97.459946,2.606254,3836.924278
246,79323868058,79323958859,79323869256,79323956922,1003.771106,3.452605,28069.090190,96.547395,3.576073,2796.363636
247,79323958893,79324044580,79323959991,79324043346,746.664822,2.721533,26688.784851,97.278467,2.797673,3574.399657
248,79324044587,79324119428,79324045702,79324117905,844.640567,3.524806,23118.113282,96.475194,3.653588,2737.035633
249,79324119434,79324203575,79324120861,79324202346,850.403846,3.156606,26090.044192,96.843394,3.259496,3067.959337
250,79324203611,79324278815,79324204583,79324277515,727.453892,3.021116,23351.526084,96.978884,3.115231,3210.035211
