统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
187,78296117449,78296173778,78296118957,78296172271,965.349245,5.352483,17070.192257,94.647517,5.655175,1768.291874
188,78296173785,78296232953,78296175260,78296231336,990.003272,5.225798,17954.535412,94.774202,5.513945,1813.583441
189,78296232959,78296289488,78296234410,78296287642,1055.640617,5.832405,17043.937319,94.167595,6.193643,1614.558690
190,78296289493,78296344699,78296290637,78296343369,792.130691,4.481397,16883.846233,95.518603,4.691648,2131.447049
191,78296344705,78296398387,78296345560,78296397067,696.396222,4.051637,16491.623074,95.948363,4.222727,2368.137931
192,78296398394,78296453986,78296399485,78296452440,844.320385,4.743488,16955.246857,95.256512,4.979700,2008.153204
193,78296454024,78296509457,78296455218,78296507883,886.264249,4.993415,16862.394028,95.006585,5.255863,1902.637283
194,78296509486,78296563882,78296510988,78296562371,964.708881,5.539010,16451.920485,94.460990,5.863807,1705.376701
195,78296563888,78296620469,78296565412,78296618831,1012.416024,5.588448,17103.811385,94.411552,5.919242,1689.405440
196,78296620475,78296677672,78296621861,78296675002,1298.658885,7.091281,17014.800741,92.908719,7.632525,1310.182446
197,78296677678,78296735573,78296678722,78296734270,751.467555,4.053891,17785.479226,95.946109,4.225175,2366.766084
198,78296735580,78296778163,78296737188,78296775585,1340.282567,9.830214,12294.034814,90.169786,10.901893,917.271859
199,78296778169,78296836338,78296779933,78296834496,1154.576908,6.199178,17470.099788,93.800822,6.608874,1513.117027
200,78296836345,78296892549,78296837571,78296891107,854.246032,4.746993,17141.272699,95.253007,4.983562,2006.596702
201,78296892559,78296948022,78296893562,78296946577,783.805954,4.413753,16974.457788,95.586247,4.617561,2165.645425
202,78296948027,78297004431,78296949284,78297002838,912.519187,5.052833,17147.035978,94.947167,5.321731,1879.087719
203,78297004436,78297060947,78297005876,78297059131,1042.513148,5.761710,17051.301509,94.238290,6.113980,1635.595823
204,78297060954,78297116892,78297062395,78297115350,955.103416,5.332690,16955.246857,94.667310,5.633085,1775.226282
205,78297116898,78297175446,78297118347,78297174270,840.478198,4.483501,17905.547540,95.516499,4.693954,2130.400000
