统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%),,单程1,单程2
118,14388986,14389048,14389001,14389017,46,74.193548,16,25.806452,287.5,34.782609,,15,31
119,14389048,14389142,14389079,14389095,78,82.978723,16,17.021277,487.5,20.512821,,31,47
120,14389142,14389189,14389142,14389173,16,34.042553,31,65.957447,51.612903,193.75,,0,16
121,14389189,14389298,14389220,14389235,94,86.238532,15,13.761468,626.666667,15.957447,,31,63
122,14389298,14389391,14389345,14389360,78,83.870968,15,16.129032,520,19.230769,,47,31
123,14389391,14389438,14389423,14389438,32,68.085106,15,31.914894,213.333333,46.875,,32,0
124,14389438,14389547,14389485,14389516,78,71.559633,31,28.440367,251.612903,39.74359,,47,31
125,14389547,14389594,14389563,14389579,31,65.957447,16,34.042553,193.75,51.612903,,16,15
126,14389594,14389688,14389641,14389657,78,82.978723,16,17.021277,487.5,20.512821,,47,31
127,14389688,14389750,14389703,14389735,30,48.387097,32,51.612903,93.75,106.666667,,15,15
128,14389750,14389844,14389781,14389797,78,82.978723,16,17.021277,487.5,20.512821,,31,47
129,14389844,14389891,14389859,14389875,31,65.957447,16,34.042553,193.75,51.612903,,15,16
130,14389891,14390000,14389922,14389953,78,71.559633,31,28.440367,251.612903,39.74359,,31,47
131,14390000,14390047,14390000,14390015,32,68.085106,15,31.914894,213.333333,46.875,,0,32
132,14390047,14390140,14390078,14390093,78,83.870968,15,16.129032,520,19.230769,,31,47
133,14390140,14390187,14390140,14390171,16,34.042553,31,65.957447,51.612903,193.75,,0,16
134,14390187,14390296,14390218,14390249,78,71.559633,31,28.440367,251.612903,39.74359,,31,47
135,14390296,14390390,14390343,14390359,78,82.978723,16,17.021277,487.5,20.512821,,47,31
136,14390390,14390437,14390421,14390437,31,65.957447,16,34.042553,193.75,51.612903,,31,0
137,14390437,14390546,14390483,14390515,77,70.642202,32,29.357798,240.625,41.558442,,46,31
138,14390546,14390593,14390561,14390577,31,65.957447,16,34.042553,193.75,51.612903,,15,16
139,14390593,14390686,14390639,14390655,77,82.795699,16,17.204301,481.25,20.779221,,46,31
140,14390686,14390749,14390702,14390733,32,50.793651,31,49.206349,103.225806,96.875,,16,16
141,14390749,14390842,14390780,14390795,78,83.870968,15,16.129032,520,19.230769,,31,47
142,14390842,14390889,14390858,14390873,32,68.085106,15,31.914894,213.333333,46.875,,16,16
143,14390889,14390998,14390920,14390951,78,71.559633,31,28.440367,251.612903,39.74359,,31,47
144,14390998,14391045,14390998,14391014,31,65.957447,16,34.042553,193.75,51.612903,,0,31
145,14391045,14391139,14391076,14391092,78,82.978723,16,17.021277,487.5,20.512821,,31,47
146,14391139,14391248,14391201,14391217,93,85.321101,16,14.678899,581.25,17.204301,,62,31
147,14391248,14391295,14391263,14391295,15,31.914894,32,68.085106,46.875,213.333333,,15,0
148,14391295,14391388,14391341,14391373,61,65.591398,32,34.408602,190.625,52.459016,,46,15
149,14391388,14391435,14391419,14391435,31,65.957447,16,34.042553,193.75,51.612903,,31,0
150,14391435,14391544,14391497,14391513,93,85.321101,16,14.678899,581.25,17.204301,,62,31
151,14391544,14391591,14391560,14391591,16,34.042553,31,65.957447,51.612903,193.75,,16,0
152,14391591,14391700,14391638,14391653,94,86.238532,15,13.761468,626.666667,15.957447,,47,47
153,14391700,14391747,14391716,14391731,32,68.085106,15,31.914894,213.333333,46.875,,16,16
154,14391747,14391841,14391778,14391809,63,67.021277,31,32.978723,203.225806,49.206349,,31,32
155,14391841,14391887,14391856,14391872,30,65.217391,16,34.782609,187.5,53.333333,,15,15
156,14391887,14391997,14391934,14391950,94,85.454545,16,14.545455,587.5,17.021277,,47,47
157,14391997,14392043,14391997,14392028,15,32.608696,31,67.391304,48.387097,206.666667,,0,15
158,14392043,14392137,14392075,14392106,63,67.021277,31,32.978723,203.225806,49.206349,,32,31
159,14392137,14392199,14392153,14392168,47,75.806452,15,24.193548,313.333333,31.914894,,16,31
160,14392199,14392246,14392215,14392246,16,34.042553,31,65.957447,51.612903,193.75,,16,0
161,14392246,14392340,14392293,14392309,78,82.978723,16,17.021277,487.5,20.512821,,47,31
162,14392340,14392387,14392371,14392387,31,65.957447,16,34.042553,193.75,51.612903,,31,0
163,14392387,14392496,14392433,14392449,93,85.321101,16,14.678899,581.25,17.204301,,46,47
164,14392496,14392543,14392511,14392527,31,65.957447,16,34.042553,193.75,51.612903,,15,16
165,14392543,14392636,14392574,14392605,62,66.666667,31,33.333333,200,50,,31,31
166,14392636,14392699,14392652,14392683,32,50.793651,31,49.206349,103.225806,96.875,,16,16
167,14392699,14392792,14392730,14392745,78,83.870968,15,16.129032,520,19.230769,,31,47
168,14392792,14392839,14392792,14392823,16,34.042553,31,65.957447,51.612903,193.75,,0,16
169,14392839,14392948,14392870,14392901,78,71.559633,31,28.440367,251.612903,39.74359,,31,47
170,14392948,14392995,14392948,14392964,31,65.957447,16,34.042553,193.75,51.612903,,0,31
171,14392995,14393089,14393026,14393042,78,82.978723,16,17.021277,487.5,20.512821,,31,47
172,14393089,14393198,14393135,14393167,77,70.642202,32,29.357798,240.625,41.558442,,46,31
173,14393198,14393245,14393213,14393229,31,65.957447,16,34.042553,193.75,51.612903,,15,16
174,14393245,14393338,14393291,14393307,77,82.795699,16,17.204301,481.25,20.779221,,46,31
175,14393338,14393385,14393354,14393385,16,34.042553,31,65.957447,51.612903,193.75,,16,0
176,14393385,14393494,14393432,14393463,78,71.559633,31,28.440367,251.612903,39.74359,,47,31
177,14393494,14393541,14393510,14393525,32,68.085106,15,31.914894,213.333333,46.875,,16,16
178,14393541,14393650,14393588,14393603,94,86.238532,15,13.761468,626.666667,15.957447,,47,47
179,14393650,14393697,14393650,14393681,16,34.042553,31,65.957447,51.612903,193.75,,0,16
180,14393697,14393791,14393728,14393759,63,67.021277,31,32.978723,203.225806,49.206349,,31,32
181,14393791,14393837,14393806,14393822,30,65.217391,16,34.782609,187.5,53.333333,,15,15
182,14393837,14393947,14393884,14393900,94,85.454545,16,14.545455,587.5,17.021277,,47,47
183,14393947,14393993,14393947,14393978,15,32.608696,31,67.391304,48.387097,206.666667,,0,15
184,14393993,14394087,14394025,14394040,79,84.042553,15,15.957447,526.666667,18.987342,,32,47
185,14394087,14394149,14394103,14394118,47,75.806452,15,24.193548,313.333333,31.914894,,16,31
186,14394149,14394243,14394165,14394196,63,67.021277,31,32.978723,203.225806,49.206349,,16,47
187,14394243,14394337,14394290,14394305,79,84.042553,15,15.957447,526.666667,18.987342,,47,32
188,14394337,14394399,14394352,14394383,31,50,31,50,100,100,,15,16
189,14394399,14394493,14394430,14394446,78,82.978723,16,17.021277,487.5,20.512821,,31,47
190,14394493,14394539,14394493,14394508,31,67.391304,15,32.608696,206.666667,48.387097,,0,31
191,14394539,14394586,14394571,14394586,32,68.085106,15,31.914894,213.333333,46.875,,32,0
192,14394586,14394695,14394633,14394649,93,85.321101,16,14.678899,581.25,17.204301,,47,46
193,14394695,14394742,14394695,14394711,31,65.957447,16,34.042553,193.75,51.612903,,0,31
194,14394742,14394789,14394773,14394789,31,65.957447,16,34.042553,193.75,51.612903,,31,0
195,14394789,14394898,14394836,14394851,94,86.238532,15,13.761468,626.666667,15.957447,,47,47
196,14394898,14394945,14394898,14394929,16,34.042553,31,65.957447,51.612903,193.75,,0,16
197,14394945,14395039,14394976,14395007,63,67.021277,31,32.978723,203.225806,49.206349,,31,32
198,14395039,14395085,14395054,14395070,30,65.217391,16,34.782609,187.5,53.333333,,15,15
199,14395085,14395195,14395132,14395148,94,85.454545,16,14.545455,587.5,17.021277,,47,47
200,14395195,14395241,14395195,14395226,15,32.608696,31,67.391304,48.387097,206.666667,,0,15
201,14395241,14395351,14395273,14395288,95,86.363636,15,13.636364,633.333333,15.789474,,32,63
202,14395351,14395444,14395397,14395413,77,82.795699,16,17.204301,481.25,20.779221,,46,31
203,14395444,14395491,14395460,14395491,16,34.042553,31,65.957447,51.612903,193.75,,16,0
204,14395491,14395600,14395538,14395569,78,71.559633,31,28.440367,251.612903,39.74359,,47,31
205,14395600,14395647,14395616,14395631,32,68.085106,15,31.914894,213.333333,46.875,,16,16
206,14395647,14395741,14395694,14395709,79,84.042553,15,15.957447,526.666667,18.987342,,47,32
207,14395741,14395787,14395756,14395787,15,32.608696,31,67.391304,48.387097,206.666667,,15,0
208,14395787,14395897,14395834,14395850,94,85.454545,16,14.545455,587.5,17.021277,,47,47
209,14395897,14395943,14395897,14395928,15,32.608696,31,67.391304,48.387097,206.666667,,0,15
210,14395943,14396037,14395975,14396006,63,67.021277,31,32.978723,203.225806,49.206349,,32,31
211,14396037,14396099,14396053,14396068,47,75.806452,15,24.193548,313.333333,31.914894,,16,31
212,14396099,14396193,14396115,14396146,63,67.021277,31,32.978723,203.225806,49.206349,,16,47
213,14396193,14396287,14396240,14396271,63,67.021277,31,32.978723,203.225806,49.206349,,47,16
214,14396287,14396349,14396318,14396333,47,75.806452,15,24.193548,313.333333,31.914894,,31,16
215,14396349,14396443,14396380,14396411,63,67.021277,31,32.978723,203.225806,49.206349,,31,32
216,14396443,14396489,14396458,14396489,15,32.608696,31,67.391304,48.387097,206.666667,,15,0
217,14396489,14396599,14396536,14396552,94,85.454545,16,14.545455,587.5,17.021277,,47,47
218,14396599,14396645,14396599,14396630,15,32.608696,31,67.391304,48.387097,206.666667,,0,15
219,14396645,14396739,14396677,14396708,63,67.021277,31,32.978723,203.225806,49.206349,,32,31
220,14396739,14396786,14396755,14396770,32,68.085106,15,31.914894,213.333333,46.875,,16,16
221,14396786,14396895,14396833,14396848,94,86.238532,15,13.761468,626.666667,15.957447,,47,47
222,14396895,14396942,14396895,14396926,16,34.042553,31,65.957447,51.612903,193.75,,0,16
223,14396942,14397035,14396973,14396989,77,82.795699,16,17.204301,481.25,20.779221,,31,46
224,14397035,14397098,14397051,14397067,47,74.603175,16,25.396825,293.75,34.042553,,16,31
