统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
260,29508150,29508181,29508166,29508181,16,51.612903,15,48.387097,106.666667,93.750000
261,29508181,29508213,29508197,29508213,16,50.000000,16,50.000000,100.000000,100.000000
262,29508213,29508244,29508213,29508228,16,51.612903,15,48.387097,106.666667,93.750000
263,29508244,29508275,29508259,29508275,15,48.387097,16,51.612903,93.750000,106.666667
264,29508275,29508306,29508275,29508306,0,0.000000,31,100.000000,0.000000,1.000000
265,29508306,29508337,29508306,29508322,15,48.387097,16,51.612903,93.750000,106.666667
266,29508337,29508353,29508337,29508353,0,0.000000,16,100.000000,0.000000,1.000000
267,29508353,29508384,29508369,29508384,16,51.612903,15,48.387097,106.666667,93.750000
268,29508384,29508415,29508384,29508400,15,48.387097,16,51.612903,93.750000,106.666667
269,29508415,29508431,29508415,29508431,0,0.000000,16,100.000000,0.000000,1.000000
270,29508431,29508462,29508447,29508462,16,51.612903,15,48.387097,106.666667,93.750000
271,29508462,29508493,29508462,29508478,15,48.387097,16,51.612903,93.750000,106.666667
272,29508493,29508525,29508509,29508525,16,50.000000,16,50.000000,100.000000,100.000000
273,29508525,29508556,29508525,29508556,0,0.000000,31,100.000000,0.000000,1.000000
274,29508556,29508587,29508556,29508571,16,51.612903,15,48.387097,106.666667,93.750000
275,29508587,29508618,29508603,29508618,16,51.612903,15,48.387097,106.666667,93.750000
276,29508618,29508649,29508618,29508634,15,48.387097,16,51.612903,93.750000,106.666667
277,29508649,29508681,29508649,29508665,16,50.000000,16,50.000000,100.000000,100.000000
278,29508681,29508712,29508681,29508696,16,51.612903,15,48.387097,106.666667,93.750000
279,29508712,29508727,29508712,29508727,0,0.000000,15,100.000000,0.000000,1.000000
280,29508727,29508759,29508743,29508759,16,50.000000,16,50.000000,100.000000,100.000000
281,29508759,29508790,29508759,29508790,0,0.000000,31,100.000000,0.000000,1.000000
282,29508790,29508821,29508790,29508805,16,51.612903,15,48.387097,106.666667,93.750000
283,29508821,29508852,29508821,29508837,15,48.387097,16,51.612903,93.750000,106.666667
284,29508852,29508868,29508852,29508868,0,0.000000,16,100.000000,0.000000,1.000000
285,29508868,29508899,29508868,29508883,16,51.612903,15,48.387097,106.666667,93.750000
286,29508899,29508930,29508899,29508915,15,48.387097,16,51.612903,93.750000,106.666667
287,29508930,29508946,29508930,29508946,0,0.000000,16,100.000000,0.000000,1.000000
288,29508946,29508977,29508946,29508961,16,51.612903,15,48.387097,106.666667,93.750000
289,29508977,29509008,29508977,29508993,15,48.387097,16,51.612903,93.750000,106.666667
290,29509008,29509039,29509008,29509039,0,0.000000,31,100.000000,0.000000,1.000000
291,29509039,29509071,29509039,29509055,16,50.000000,16,50.000000,100.000000,100.000000
292,29509071,29509102,29509071,29509086,16,51.612903,15,48.387097,106.666667,93.750000
293,29509102,29509117,29509102,29509117,0,0.000000,15,100.000000,0.000000,1.000000
294,29509117,29509149,29509117,29509133,16,50.000000,16,50.000000,100.000000,100.000000
295,29509149,29509180,29509149,29509164,16,51.612903,15,48.387097,106.666667,93.750000
296,29509180,29509211,29509180,29509195,16,51.612903,15,48.387097,106.666667,93.750000
297,29509211,29509242,29509211,29509227,15,48.387097,16,51.612903,93.750000,106.666667
298,29509242,29509258,29509242,29509258,0,0.000000,16,100.000000,0.000000,1.000000
299,29509258,29509289,29509273,29509289,15,48.387097,16,51.612903,93.750000,106.666667
300,29509289,29509320,29509289,29509305,15,48.387097,16,51.612903,93.750000,106.666667
301,29509320,29509351,29509320,29509336,15,48.387097,16,51.612903,93.750000,106.666667
302,29509351,29509383,29509351,29509367,16,50.000000,16,50.000000,100.000000,100.000000
303,29509383,29509398,29509383,29509398,0,0.000000,15,100.000000,0.000000,1.000000
304,29509398,29509429,29509414,29509429,16,51.612903,15,48.387097,106.666667,93.750000
305,29509429,29509461,29509445,29509461,16,50.000000,16,50.000000,100.000000,100.000000
306,29509461,29509492,29509461,29509476,16,51.612903,15,48.387097,106.666667,93.750000
307,29509492,29509523,29509492,29509507,16,51.612903,15,48.387097,106.666667,93.750000
308,29509523,29509539,29509523,29509539,0,0.000000,16,100.000000,0.000000,1.000000
