统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
223,7559652,7559761,7559683,7559699,93,85.321101,16,14.678899,581.25,17.204301
224,7559761,7559855,7559808,7559824,78,82.978723,16,17.021277,487.5,20.512821
225,7559855,7559948,7559886,7559902,77,82.795699,16,17.204301,481.25,20.779221
226,7559948,7560058,7560011,7560026,95,86.363636,15,13.636364,633.333333,15.789474
227,7560058,7560151,7560073,7560104,62,66.666667,31,33.333333,200,50
228,7560151,7560260,7560198,7560229,78,71.559633,31,28.440367,251.612903,39.74359
229,7560260,7560354,7560276,7560307,63,67.021277,31,32.978723,203.225806,49.206349
230,7560354,7560463,7560401,7560432,78,71.559633,31,28.440367,251.612903,39.74359
231,7560463,7560557,7560479,7560510,63,67.021277,31,32.978723,203.225806,49.206349
232,7560557,7560650,7560604,7560635,62,66.666667,31,33.333333,200,50
233,7560650,7560760,7560682,7560697,95,86.363636,15,13.636364,633.333333,15.789474
234,7560760,7560853,7560806,7560822,77,82.795699,16,17.204301,481.25,20.779221
235,7560853,7560900,7560884,7560900,31,65.957447,16,34.042553,193.75,51.612903
236,7560900,7561009,7560947,7560978,78,71.559633,31,28.440367,251.612903,39.74359
237,7561009,7561056,7561025,7561056,16,34.042553,31,65.957447,51.612903,193.75
238,7561056,7561150,7561103,7561134,63,67.021277,31,32.978723,203.225806,49.206349
239,7561150,7561212,7561181,7561196,47,75.806452,15,24.193548,313.333333,31.914894
240,7561212,7561306,7561259,7561274,79,84.042553,15,15.957447,526.666667,18.987342
241,7561306,7561352,7561337,7561352,31,67.391304,15,32.608696,206.666667,48.387097
242,7561352,7561462,7561399,7561430,79,71.818182,31,28.181818,254.83871,39.240506
243,7561462,7561508,7561477,7561508,15,32.608696,31,67.391304,48.387097,206.666667
244,7561508,7561602,7561555,7561571,78,82.978723,16,17.021277,487.5,20.512821
245,7561602,7561649,7561633,7561649,31,65.957447,16,34.042553,193.75,51.612903
246,7561649,7561758,7561696,7561727,78,71.559633,31,28.440367,251.612903,39.74359
247,7561758,7561805,7561774,7561805,16,34.042553,31,65.957447,51.612903,193.75
248,7561805,7561898,7561852,7561883,62,66.666667,31,33.333333,200,50
249,7561898,7561961,7561930,7561945,48,76.190476,15,23.809524,320,31.25
250,7561961,7562054,7562008,7562023,78,83.870968,15,16.129032,520,19.230769
251,7562054,7562101,7562070,7562101,16,34.042553,31,65.957447,51.612903,193.75
252,7562101,7562210,7562148,7562164,93,85.321101,16,14.678899,581.25,17.204301
253,7562210,7562257,7562226,7562242,31,65.957447,16,34.042553,193.75,51.612903
254,7562257,7562351,7562288,7562320,62,65.957447,32,34.042553,193.75,51.612903
255,7562351,7562413,7562366,7562398,30,48.387097,32,51.612903,93.75,106.666667
256,7562413,7562507,7562444,7562476,62,65.957447,32,34.042553,193.75,51.612903
257,7562507,7562554,7562522,7562538,31,65.957447,16,34.042553,193.75,51.612903
258,7562554,7562663,7562600,7562616,93,85.321101,16,14.678899,581.25,17.204301
259,7562663,7562710,7562663,7562694,16,34.042553,31,65.957447,51.612903,193.75
260,7562710,7562803,7562741,7562772,62,66.666667,31,33.333333,200,50
261,7562803,7562850,7562819,7562834,32,68.085106,15,31.914894,213.333333,46.875
262,7562850,7562959,7562897,7562912,94,86.238532,15,13.761468,626.666667,15.957447
263,7562959,7563006,7562959,7562975,31,65.957447,16,34.042553,193.75,51.612903
264,7563006,7563100,7563037,7563053,78,82.978723,16,17.021277,487.5,20.512821
265,7563100,7563209,7563162,7563178,93,85.321101,16,14.678899,581.25,17.204301
266,7563209,7563256,7563224,7563256,15,31.914894,32,68.085106,46.875,213.333333
267,7563256,7563349,7563302,7563334,61,65.591398,32,34.408602,190.625,52.459016
268,7563349,7563412,7563380,7563396,47,74.603175,16,25.396825,293.75,34.042553
269,7563412,7563505,7563458,7563474,77,82.795699,16,17.204301,481.25,20.779221
270,7563505,7563552,7563521,7563552,16,34.042553,31,65.957447,51.612903,193.75
271,7563552,7563661,7563599,7563614,94,86.238532,15,13.761468,626.666667,15.957447
272,7563661,7563708,7563677,7563692,32,68.085106,15,31.914894,213.333333,46.875
273,7563708,7563802,7563739,7563770,63,67.021277,31,32.978723,203.225806,49.206349
274,7563802,7563848,7563817,7563848,15,32.608696,31,67.391304,48.387097,206.666667
275,7563848,7563958,7563895,7563911,94,85.454545,16,14.545455,587.5,17.021277
276,7563958,7564004,7563973,7563989,30,65.217391,16,34.782609,187.5,53.333333
277,7564004,7564114,7564036,7564067,79,71.818182,31,28.181818,254.83871,39.240506
278,7564114,7564160,7564114,7564129,31,67.391304,15,32.608696,206.666667,48.387097
279,7564160,7564254,7564192,7564207,79,84.042553,15,15.957447,526.666667,18.987342
280,7564254,7564301,7564254,7564285,16,34.042553,31,65.957447,51.612903,193.75
281,7564301,7564410,7564332,7564363,78,71.559633,31,28.440367,251.612903,39.74359
282,7564410,7564457,7564410,7564426,31,65.957447,16,34.042553,193.75,51.612903
283,7564457,7564550,7564488,7564504,77,82.795699,16,17.204301,481.25,20.779221
284,7564550,7564613,7564550,7564582,31,49.206349,32,50.793651,96.875,103.225806
285,7564613,7564706,7564628,7564660,61,65.591398,32,34.408602,190.625,52.459016
286,7564706,7564800,7564753,7564784,63,67.021277,31,32.978723,203.225806,49.206349
287,7564800,7564909,7564831,7564862,78,71.559633,31,28.440367,251.612903,39.74359
288,7564909,7565003,7564956,7564987,63,67.021277,31,32.978723,203.225806,49.206349
289,7565003,7565112,7565034,7565065,78,71.559633,31,28.440367,251.612903,39.74359
290,7565112,7565159,7565112,7565128,31,65.957447,16,34.042553,193.75,51.612903
291,7565159,7565252,7565174,7565206,61,65.591398,32,34.408602,190.625,52.459016
292,7565252,7565362,7565299,7565330,79,71.818182,31,28.181818,254.83871,39.240506
293,7565362,7565455,7565377,7565408,62,66.666667,31,33.333333,200,50
294,7565455,7565549,7565502,7565533,63,67.021277,31,32.978723,203.225806,49.206349
295,7565549,7565611,7565580,7565611,31,50,31,50,100,100
296,7565611,7565705,7565658,7565674,78,82.978723,16,17.021277,487.5,20.512821
297,7565705,7565752,7565720,7565752,15,31.914894,32,68.085106,46.875,213.333333
298,7565752,7565861,7565798,7565830,77,70.642202,32,29.357798,240.625,41.558442
299,7565861,7565908,7565876,7565892,31,65.957447,16,34.042553,193.75,51.612903
300,7565908,7566001,7565954,7565970,77,82.795699,16,17.204301,481.25,20.779221
301,7566001,7566064,7566017,7566048,32,50.793651,31,49.206349,103.225806,96.875
302,7566064,7566157,7566095,7566126,62,66.666667,31,33.333333,200,50
303,7566157,7566204,7566173,7566204,16,34.042553,31,65.957447,51.612903,193.75
304,7566204,7566313,7566251,7566266,94,86.238532,15,13.761468,626.666667,15.957447
305,7566313,7566360,7566329,7566344,32,68.085106,15,31.914894,213.333333,46.875
306,7566360,7566454,7566391,7566422,63,67.021277,31,32.978723,203.225806,49.206349
307,7566454,7566500,7566469,7566500,15,32.608696,31,67.391304,48.387097,206.666667
308,7566500,7566610,7566547,7566563,94,85.454545,16,14.545455,587.5,17.021277
309,7566610,7566656,7566625,7566641,30,65.217391,16,34.782609,187.5,53.333333
310,7566656,7566750,7566688,7566719,63,67.021277,31,32.978723,203.225806,49.206349
311,7566750,7566812,7566766,7566797,31,50,31,50,100,100
312,7566812,7566906,7566844,7566859,79,84.042553,15,15.957447,526.666667,18.987342
313,7566906,7566953,7566922,7566937,32,68.085106,15,31.914894,213.333333,46.875
314,7566953,7567062,7567000,7567015,94,86.238532,15,13.761468,626.666667,15.957447
315,7567062,7567109,7567062,7567093,16,34.042553,31,65.957447,51.612903,193.75
316,7567109,7567202,7567140,7567171,62,66.666667,31,33.333333,200,50
317,7567202,7567249,7567218,7567234,31,65.957447,16,34.042553,193.75,51.612903
318,7567249,7567358,7567296,7567312,93,85.321101,16,14.678899,581.25,17.204301
319,7567358,7567452,7567358,7567436,16,17.021277,78,82.978723,20.512821,487.5
320,7567452,7567561,7567483,7567514,78,71.559633,31,28.440367,251.612903,39.74359
321,7567561,7567608,7567561,7567592,16,34.042553,31,65.957447,51.612903,193.75
322,7567608,7567702,7567639,7567670,63,67.021277,31,32.978723,203.225806,49.206349
323,7567702,7567764,7567717,7567733,46,74.193548,16,25.806452,287.5,34.782609
324,7567764,7567858,7567795,7567811,78,82.978723,16,17.021277,487.5,20.512821
325,7567858,7567904,7567858,7567889,15,32.608696,31,67.391304,48.387097,206.666667
326,7567904,7568014,7567936,7567967,79,71.818182,31,28.181818,254.83871,39.240506
327,7568014,7568060,7568014,7568045,15,32.608696,31,67.391304,48.387097,206.666667
328,7568060,7568154,7568092,7568107,79,84.042553,15,15.957447,526.666667,18.987342
329,7568154,7568201,7568170,7568185,32,68.085106,15,31.914894,213.333333,46.875
330,7568201,7568310,7568232,7568263,78,71.559633,31,28.440367,251.612903,39.74359
331,7568310,7568357,7568310,7568341,16,34.042553,31,65.957447,51.612903,193.75
