统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
158,75185267752,75185580101,75185402168,75185490628,71685.266049,71.679115,28323.314833,28.320885,253.096315,39.510650
159,75185580111,75185736297,75185645702,75185715354,27706.643972,55.404454,22301.328564,44.595546,124.237639,80.490905
160,75185736304,75186048596,75185870503,75185941462,77270.523837,77.277996,22719.806661,22.722004,340.102031,29.402941
161,75186048604,75186207144,75186095539,75186165125,28481.484826,56.108238,22280.196541,43.891762,127.833185,78.226949
162,75186207151,75186517087,75186320280,75186390168,76859.089748,77.450829,22376.891556,22.549171,343.475275,29.114177
163,75186517095,75186673304,75186545193,75186614940,27683.590856,55.350204,22331.745870,44.649796,123.965188,80.667808
164,75186673341,75186985581,75186770173,75186843457,76509.450817,76.529593,23464.230208,23.470407,326.068446,30.668408
165,75186985589,75187141719,75186998014,75187067858,27627.238794,55.265484,22362.803541,44.734516,123.541034,80.944765
166,75187141727,75187297879,75187223034,75187292569,27733.219092,55.469671,22263.867250,44.530329,124.566046,80.278698
167,75187297886,75187610325,75187447864,75187517696,77678.435923,77.649397,22358.961355,22.350603,347.415225,28.784000
168,75187610337,75187766489,75187672998,75187764462,20711.944268,41.426303,29285.142074,58.573697,70.725094,141.392530
169,75187766497,75188078840,75187919722,75187989070,77802.666605,77.797485,22203.993184,22.202515,350.399435,28.538859
170,75188078875,75188391093,75188144422,75188244473,67932.090642,67.954762,32034.546376,32.045238,212.058850,47.156721
171,75188391102,75188547476,75188400370,75188471990,27136.719708,54.199547,22931.447076,45.800453,118.338453,84.503386
172,75188547500,75188859644,75188628517,75188713450,72748.911221,72.790443,27194.032317,27.209557,267.517926,37.380673
173,75188859652,75189015806,75188868949,75188948140,24642.180415,49.286602,25355.546292,50.713398,97.186549,102.894898
174,75189015845,75189328148,75189103369,75189173075,77675.234101,77.680009,22318.618401,22.319991,348.028864,28.733249
175,75189328155,75189640531,75189484365,75189559113,76084.248894,76.071145,23932.976907,23.928855,317.905496,31.455889
176,75189640541,75189796684,75189715420,75189785159,27665.020290,55.336454,22329.184413,44.663546,123.896242,80.712698
177,75189796691,75190109038,75189940418,75190019241,74770.221265,74.764285,25237.719253,25.235715,296.263781,33.753704
178,75190109046,75190265136,75190174635,75190244459,27620.835150,55.266833,22356.399897,44.733167,123.547777,80.940347
179,75190265143,75190577487,75190399457,75190469255,77658.904810,77.653485,22348.075161,22.346515,347.497063,28.777222
180,75190577499,75190733692,75190624319,75190693992,27702.161422,55.393007,22308.052389,44.606993,124.180098,80.528202
181,75190733700,75191046045,75190849223,75190922340,76596.540368,76.590949,23410.759786,23.409051,327.185196,30.563730
182,75191046053,75191202139,75191077300,75191187718,14622.079378,29.258229,35353.874941,70.741771,41.359199,241.784181
183,75191202149,75191514494,75191342794,75191424450,73862.504811,73.857113,26144.795343,26.142887,282.513226,35.396573
184,75191514501,75191670653,75191580151,75191652810,26732.969991,53.469056,23264.116352,46.530944,114.910747,87.024062
185,75191670660,75191983055,75191808180,75191877989,77671.712097,77.653612,22351.597165,22.346388,347.499606,28.777011
186,75191983066,75192139157,75192033057,75192102651,27694.797232,55.414470,22282.757998,44.585530,124.288013,80.458282
187,75192139164,75192451447,75192257779,75192327301,77727.743977,77.737501,22259.704882,22.262499,349.185869,28.638043
188,75192451455,75192607754,75192482724,75192555717,26673.095925,53.299125,23371.057197,46.700875,114.128752,87.620339
189,75192607765,75192920069,75192710803,75192781285,77427.092919,77.431605,22567.079766,22.568395,343.097528,29.146232
190,75192920077,75193076183,75192935681,75193017891,23660.181697,47.337066,26322.176265,52.662934,89.886875,111.250947
191,75193076190,75193388608,75193173044,75193242310,77852.935206,77.829062,22177.738246,22.170938,351.040915,28.486708
192,75193388620,75193544711,75193397873,75193470562,26703.833413,53.431652,23273.721817,46.568348,114.738131,87.154984
193,75193544718,75193700934,75193625968,75193698837,26686.223394,53.353690,23331.354608,46.646310,114.379228,87.428462
194,75193700940,75194013223,75193854045,75193929873,75708.675208,75.718179,24278.773651,24.281821,311.830722,32.068681
195,75194013230,75194325626,75194085052,75194170476,72672.387682,72.655220,27351.241763,27.344780,265.700506,37.636360
196,75194325635,75194638080,75194481797,75194582926,67659.615615,67.633023,32379.702756,32.366977,208.956877,47.856764
197,75194638090,75194950294,75194737952,75194807330,77748.555818,77.777991,22213.598649,22.222009,350.004324,28.571076
198,75194950301,75195106407,75194962756,75195032249,27731.938364,55.483454,22250.419599,44.516546,124.635575,80.233914
199,75195106414,75195262597,75195187591,75195260476,26670.534467,53.333589,23336.477522,46.666411,114.286890,87.499100
200,75195262604,75195574872,75195415607,75195482272,78637.701707,78.651351,21344.944420,21.348649,368.413710,27.143398
201,75195574879,75195730982,75195637365,75195719341,23734.143778,47.485955,26247.253637,52.514045,90.425246,110.588584
202,75195730989,75196043417,75195874771,75195946019,77221.535965,77.195386,22812.339309,22.804614,338.507748,29.541421
203,75196043425,75196199547,75196099601,75196169191,27706.003608,55.425885,22281.477269,44.574115,124.345452,80.421116
204,75196199554,75196511942,75196324562,75196397415,76694.836294,76.678682,23326.231693,23.321318,328.792225,30.414344
205,75196511950,75196668087,75196552419,75196619100,28642.216275,57.293274,21350.067334,42.706726,134.155157,74.540556
206,75196668095,75196980414,75196774319,75196840667,78755.528746,78.756336,21243.446671,21.243664,370.728583,26.973912
207,75196980454,75197136842,75196996033,75197068748,26790.602781,53.503466,23282.046553,46.496534,115.069793,86.903780
208,75197136849,75197448901,75197224014,75197300094,75554.027219,75.619448,24359.459558,24.380552,310.162986,32.241113
209,75197448908,75197605098,75197455096,75197534334,24638.658411,49.268199,25370.594854,50.731801,97.115021,102.970683
210,75197605106,75197761409,75197689427,75197759228,27696.398143,55.342508,22349.035707,44.657492,123.926591,80.692932
211,75197761418,75198073574,75197914350,75198011976,68688.681112,68.725253,31258.104611,31.274747,219.746789,45.506922
212,75198073582,75198385976,75198167289,75198236946,77720.059605,77.702197,22302.929475,22.297803,348.474669,28.696490
213,75198385984,75198542074,75198392179,75198486878,19656.303651,39.330514,30320.931397,60.669486,64.827506,154.255510
214,75198542081,75198854414,75198641973,75198715119,76583.412899,76.580765,23420.045069,23.419235,326.999426,30.581093
215,75198854433,75199010641,75198870040,75198942984,26659.648273,53.303288,23355.368270,46.696712,114.147839,87.605688
216,75199010648,75199322939,75199098070,75199167677,77703.089950,77.710853,22286.920366,22.289147,348.648843,28.682155
217,75199322947,75199635300,75199479105,75199564502,72667.264767,72.660099,27342.596844,27.339901,265.765776,37.627117
218,75199635309,75199947642,75199719622,75199792350,76717.249046,76.714596,23286.208921,23.285404,329.453580,30.353290
219,75199947649,75200259949,75200103801,75200173456,77690.602845,77.696126,22302.289110,22.303874,348.352595,28.706547
220,75200259957,75200416086,75200328694,75200404729,25644.670792,51.299887,24345.051360,48.700113,105.338331,94.932205
221,75200416093,75200728641,75200559773,75200638989,74708.746288,74.654773,25363.550846,25.345227,294.551606,33.949908
222,75200728650,75200884621,75200794032,75200873281,24565.016512,49.189914,25374.116858,50.810086,96.811316,103.293710
223,75200884628,75201197004,75201028331,75201101504,76588.535813,76.575345,23428.689987,23.424655,326.900633,30.590335
224,75201197012,75201353021,75201256351,75201325990,27654.134096,55.362191,22297.166196,44.637809,124.025331,80.628691
225,75201353028,75201665447,75201481230,75201556993,75773.031824,75.749554,24257.961810,24.250446,312.363555,32.013978
226,75201665455,75201821570,75201712233,75201782162,27595.220577,55.206739,22390.019025,44.793261,123.247866,81.137308
227,75201821577,75202134019,75201937257,75202012991,75789.681297,75.760621,24248.676527,24.239379,312.551826,31.994694
228,75202134027,75202290161,75202168330,75202238255,27602.584767,55.214751,22388.738297,44.785249,123.287808,81.111021
229,75202290168,75202602453,75202393248,75202497491,66611.339188,66.619274,33376.750036,33.380726,199.574072,50.106709
230,75202602461,75202758695,75202652513,75202726356,26380.129238,52.735640,23643.212042,47.264360,111.575911,89.625080
231,75202758704,75203070931,75202880506,75202953454,76612.869658,76.636229,23356.648999,23.363771,328.013105,30.486587
232,75203070939,75203227352,75203108443,75203184307,25790.353680,51.497638,24290.300209,48.502362,106.175525,94.183665
233,75203227360,75203539530,75203339634,75203434414,69604.402121,69.638338,30346.866153,30.361662,229.362735,43.599062
234,75203539565,75203695657,75203589529,75203662142,26728.487440,53.480640,23249.387972,46.519360,114.964263,86.983553
235,75203695664,75204008034,75203817513,75203911756,69840.376381,69.829689,30174.928327,30.170311,231.451673,43.205564
236,75204008042,75204164183,75204067343,75204140179,26672.775742,53.352419,23320.788596,46.647581,114.373387,87.432927
237,75204164190,75204476527,75204295337,75204368752,76498.564623,76.494940,23506.174073,23.505060,325.440305,30.727601
238,75204476534,75204632645,75204523364,75204596178,26670.214285,53.357547,23313.744588,46.642453,114.396957,87.414913
239,75204632682,75204944991,75204751333,75204830517,74642.468579,74.645623,25353.305016,25.354377,294.409224,33.966327
240,75204944999,75205101135,75204985596,75205058521,26642.678618,53.293923,23349.284809,46.706077,114.104902,87.638654
241,75205101145,75205413532,75205213591,75205286512,76672.743724,76.656839,23348.004080,23.343161,328.390998,30.451505
242,75205413567,75205569654,75205441630,75205517813,25583.836179,51.191963,24392.438322,48.808037,104.884292,95.343162
243,75205569661,75205882104,75205672807,75205745712,76695.796841,76.666144,23342.881166,23.333856,328.561827,30.435672
244,75205882115,75206038188,75205900883,75205972198,27138.000437,54.306639,22833.791514,45.693361,118.850172,84.139550
245,75206038195,75206350526,75206128728,75206201592,76673.063906,76.670904,23329.753697,23.329096,328.649264,30.427575
246,75206350534,75206506667,75206356737,75206466929,14709.489111,29.424273,35281.513770,70.575727,41.691774,239.855467
247,75206506674,75206819132,75206622297,75206695283,76674.664817,76.641341,23368.815922,23.358659,328.106760,30.477885
248,75206819140,75206975202,75206850222,75206919753,27705.683426,55.446553,22262.586521,44.553447,124.449526,80.353862
249,75206975209,75207287538,75207075214,75207145018,77652.180985,77.650490,22349.996254,22.349510,347.437110,28.782187
250,75207287546,75207443718,75207300073,75207369837,27666.301019,55.328740,22337.188967,44.671260,123.857577,80.737895
